League,year,month,day,homeTeam,awayTeam,homeGoals,awayGoals,matchResults
Bolivia Nacional,2018,8,6,RealPotosi,TheStrongest,0,3,-1
Bolivia Nacional,2018,8,6,RoyalPari,NacionalPotosi,5,1,1
Egypt Premier League,2018,8,6,WadiDegla,ElGouna,1,3,-1
Bolivia Nacional,2018,8,6,Guabira,SanJoseOruro,2,0,1
England Conference North,2018,8,6,CurzonAshton,Chester,0,3,-1
England Championship,2018,8,6,Hull,AstonVilla,1,3,-1
France Ligue 2,2018,8,6,Chateauroux,Lorient,1,2,-1
Northern Ireland Premier League,2018,8,6,Crusaders,Ards,4,2,1
Germany Bundesliga II,2018,8,6,DynamoDresden,MSVDuisburg,1,0,1
Germany Regionalliga West,2018,8,6,AlemanniaAachen,Wattenscheid,0,09,-1
Romania Liga I,2018,8,6,GazMetanMedias,DinamoBucharest,3,2,1
Luxembourg National Division,2018,8,6,RMHammBenfica,F91Dudelange,1,3,-1
Bulgaria A PFG,2018,8,6,SlaviaSofia,VitoshaSofia,0,2,-1
Norway Tippeligaen,2018,8,6,SKBrann,IKStart,4,1,1
Sweden Allsvenskan,2018,8,6,GIFSundsvall,IFKNorrkoping,1,1,0
Sweden Allsvenskan,2018,8,6,Elfsborg,Ostersunds,0,2,-1
Sweden Superettan,2018,8,6,IFKVarnamo,Landskrona,1,1,0
Sweden Superettan,2018,8,6,GAIS,Brage,1,1,0
Denmark Superliga,2018,8,6,Vendsyssel,AaB,0,1,-1
Egypt Premier League,2018,8,6,Ismaily,Petrojet,0,0,0
Poland Ekstraklasa,2018,8,6,CracoviaKrakow,ArkaGdynia,0,0,0
Czech Gambrinus Liga,2018,8,6,DuklaPraha,Bohemians,0,1905,-1
Serbia Super Liga,2018,8,6,Subotica,ProleterNoviSad,0,4,-1
Finland Kakkonen,2018,8,6,FCHonkaAkatemia,Espoo,2,4,-1
Finland Ykkonen,2018,8,6,FCKooTeePee,HIFK,2,1,1
Romania Liga I,2018,8,6,ViitorulConstanta,Voluntari,2,0,1
Egypt Premier League,2018,8,6,HarasElHodood,ELDaklyeh,1,2,-1
Russia Premier League,2018,8,6,Ufa,AnzhiMakhachkala,3,0,1
Georgia Umaglesi Liga,2018,8,6,ChikhuraSachkhere,KolkhetiPoti,3,1,1
Honduras Liga Nacional,2018,8,6,RealEspana,RealDeMinas,2,1,1
Colombia Copa Mustang,2018,8,6,AlianzaPetrolera,DeportesTolima,4,2,1
Bolivia Nacional,2018,8,6,OrientePetrolero,Blooming,0,3,-1
Bolivia Nacional,2018,8,1,Blooming,RealPotosi,5,0,1
