date,league,home-team,home-score,away-team,away-score
20201214,Chile Primera B,RangersTalca,4,CDSantaCruz,1
20201214,Brazil Serie B,Operario,1,PontePreta,0
20201214,Chile Primera,CuricoUnido,0,Cobresal,1
20201214,Holland Eerste Divisie,RodaJC,2,HelmondSport,2
20201214,Spain Primera Liga,CeltadeVigo,4,Cadiz,0
20201214,Italy Serie B,ReggioCalabria,1,Venezia,2
20201214,Northern Ireland Premier League,Glenavon,1,Cliftonville,1
20201214,France Ligue 2,LeHavre,0,ClermontFoot,0
20201214,Denmark Superliga,OdenseBK,1,Midtjylland,1
20201214,Spain Segunda Liga,Girona,0,RayoVallecano,0
20201214,Holland Eerste Divisie,FCUtrechtII,0,TOPOss,1
20201214,Egypt Premier League,Smouha,1,GhazlELMahallah,1
20201214,Cyprus 1. Division,OmoniaNicosia,2,Paphos,1
20201214,Poland Ekstraklasa,LechiaGdansk,0,WislaPlock,1
20201214,Romania Liga I,UTABatranaDoamna,1,CSUniversitateaCraiova,2
20201214,Qatar Stars League,AlRayyan,1,UmmSalal,1
20201214,Qatar Stars League,AlAhli,2,AlKharaityat,0
20201214,Turkey Super Lig,Sivasspor,0,Antalyaspor,0
20201214,Turkey Lig 1,Osmanlispor,0,Umraniyespor,0
20201214,Bulgaria A PFG,LokomotivPlovdiv,2,SlaviaSofia,0
20201214,Bahrain Premier League,Busaiteen,6,Malkiya,1
20201214,Bahrain Premier League,EastRiffa,1,AlNajma,1
20201214,Qatar Stars League,AlKhoor,1,AlWakra,0
20201214,Chile Primera,Antofagasta,2,Huachipato,1
20201214,Turkey Lig 1,MenemenBelediyespor,1,Istanbulspor,2
20201214,Argentina Primera B Nacional,Mitre,1,NuevaChicago,1
20201214,Croatia 2.HNL,DynamoZagrebII,1,CroatiaSesvete,2
20201217,Chile Primera,Huachipato,1,CuricoUnido,0
20201217,Paraguay Division Profesional,NacionalAsuncion,2,GeneralDiaz,2
20201217,Brazil Serie B,Figueirense,1,AmericaMineiro,2
20201217,Chile Primera,DeportesLaSerena,0,UniversidaddeChile,0
20201217,Spain Copa Del Rey,Llanera,0,CeltadeVigo,5
20201217,Spain Copa Del Rey,RacingRioja,0,Eibar,2
20201217,England Premier League,SheffUtd,2,ManUtd,3
20201217,Italy Serie A,Roma,3,Torino,1
20201217,Belgium Juliper League,KVMechelen,0,ClubBrugge,3
20201217,Germany 2. Bundesliga,ErzgebirgeAue,4,Karlsruhe,1
20201217,Switzerland Super League,Servette,1,FCSion,1
20201217,Spain Copa Del Rey,Extremadura,1,Socuellamos,2
20201217,Spain Copa Del Rey,Alcoyano,4,Laredo,1
20201217,Spain Copa Del Rey,Varea,0,LasPalmas,4
