home-team,away-team,home-goals,away-goals,formatted-date,home-won,away-won,draw
Toronto FC,Montreal Imp,0,1,2020-09-02,0,1,0
AFC W'bledon,Charlton,2,1,2020-09-01,1,0,0
Carlisle,Fleetwood,1,3,2020-09-01,0,1,0
FC Haka,Ilves Tampere,0,2,2020-09-01,0,1,0
Honka,HIFK Helsinki,0,1,2020-09-01,0,1,0
Andorra,Faroe Islands,0,1,2020-09-06,0,1,0
Wales,Bulgaria,1,0,2020-09-06,1,0,0
Slovenia,Moldova,1,0,2020-09-06,1,0,0
Ireland,Finland,0,1,2020-09-06,0,1,0
Hungary,Russia,2,3,2020-09-06,0,1,0
Malta,Latvia,1,1,2020-09-06,0,0,1
Kosovo,Greece,1,2,2020-09-06,0,1,0
Serbia,Turkey,0,0,2020-09-06,0,0,1
Spain,Ukraine,4,0,2020-09-06,1,0,0
Switzerland,Germany,1,1,2020-09-06,0,0,1
Brentford,Wycombe,1,1,2020-09-06,0,0,1
Houston,Kansas City,2,1,2020-09-06,1,0,0
Orlando City,Atlanta U,1,1,2020-09-06,0,0,1
Vancouver W,Toronto FC,3,2,2020-09-06,1,0,0
San Jose,Colorado,1,1,2020-09-06,0,0,1
Latvia,Andorra,0,0,2020-09-03,0,0,1
Faroe Islands,Malta,3,2,2020-09-03,1,0,0
Moldova,Kosovo,1,1,2020-09-03,0,0,1
Slovenia,Greece,0,0,2020-09-03,0,0,1
Bulgaria,Ireland,1,1,2020-09-03,0,0,1
Finland,Wales,0,1,2020-09-03,0,1,0
Turkey,Hungary,0,1,2020-09-03,0,1,0
Russia,Serbia,3,1,2020-09-03,1,0,0
Germany,Spain,1,1,2020-09-03,0,0,1
Ukraine,Switzerland,2,1,2020-09-03,1,0,0
Atlanta U,Inter Miami CF,0,0,2020-09-03,0,0,1
Columbus Crew,Philadelphia U,1,0,2020-09-03,1,0,0
NY Red Bulls,DC United,0,1,2020-09-03,0,1,0
Cincinnati,Chicago,0,0,2020-09-03,0,0,1
New England,New York City,0,2,2020-09-03,0,1,0
Houston,Minnesota U,3,0,2020-09-03,1,0,0
Kansas City,Dallas,1,1,2020-09-03,0,0,1
Nashville MLS,Orlando City,1,1,2020-09-03,0,0,1
Real Salt Lake,Seattle,2,2,2020-09-03,0,0,1
Portland Timb.,LA Galaxy,2,3,2020-09-03,0,1,0
Los Angeles FC,San Jose,5,1,2020-09-03,1,0,0
Kazakhstan,Belarus,1,2,2020-09-07,0,1,0
Albania,Lithuania,0,1,2020-09-07,0,1,0
Israel,Slovakia,1,1,2020-09-07,0,0,1
Czech Rep,Scotland,1,2,2020-09-07,0,1,0
N Ireland,Norway,1,5,2020-09-07,0,1,0
Austria,Romania,2,3,2020-09-07,0,1,0
Netherlands,Italy,0,1,2020-09-07,0,1,0
Bosnia-Hz.,Poland,1,2,2020-09-07,0,1,0
UCD,Galway FC,0,3,2020-09-07,0,1,0
Shamrock R B,Cobh,0,1,2020-09-07,0,1,0
