,Unnamed: 0,draw_rate,diff_goals,streak
1117,Racing,0.42222,19,8
1100,Arda,0.36538,1,6
113,Millwall,0.35593,7,6
510,Lugano,0.43182,9,6
1332,Banbury,0.4,8,5
992,VPS Vaasa,0.37037,15,4
1934,Rukh Vynnyky,0.38889,19,4
1106,Fuenlabrada,0.42308,13,3
2162,Recreativo,0.42857,1,3
2118,Deportivo Olim,0.4,3,3
811,Japan Women,0.375,7,3
650,Dunarea Calarasi,0.42105,9,3
1690,Jeunesse Esch,0.5,3,3
933,Benin,0.4,3,3
1677,Zeta,0.5,5,2
1830,Juve Stabia,0.5,1,2
1837,Clermont,0.5,6,2
1782,Bourg-Peronnas,0.4,7,2
1672,Sutjeska,0.4,3,2
932,Tanzania,0.36364,6,2
953,Ghana,0.4,5,2
1574,Omonia Nicosia,0.37037,1,2
1033,IFK Goth'burg,0.35385,13,2
1403,St Ives,0.4,7,2
1191,Inhulets Petrove,0.52632,10,2
1271,Stourbridge,0.46154,6,2
1032,FC Lahti,0.36,4,2
1212,Kukesi,0.4,6,2
170,Grenoble,0.625,1,2
2196,Club America,0.5,2,2
580,Le Puy Foot 43,0.4,8,2
1969,Hoffenheim II,0.5,1,1
1521,Droylsden,0.5,2,1
1429,Shawbury Utd,0.5,4,1
1425,Hythe,0.4,0,1
2097,Marchamalo,0.5,1,1
2108,Internacional de Madrid,0.5,3,1
1419,Chipstead,0.4,1,1
2149,Merida AD,0.5,3,1
1387,Comillas,0.5,5,1
1384,FC Andorra,0.5,1,1
1375,Hong Kong,0.4,2,1
2177,Sable,0.5,3,1
2179,Academico Viseu,0.5,3,1
1372,IK Brage,0.4,3,1
1346,Tobol,0.5,3,1
2189,Motagua,0.5,3,1
1330,Okzhetpes,0.5,1,1
1304,Horndean,0.5,1,1
1300,Sevenoaks T,0.5,4,1
1288,Tunbridge Wells,0.5,2,1
2256,Czech Rep. U21,0.66667,2,1
1534,Aylesbury,0.4,2,1
2078,Orihuela,0.4,4,1
1545,Ethiopia,0.66667,1,1
1572,SV Elversberg,0.44444,7,1
1970,Aubagne,0.42857,2,1
1810,Imolese,0.66667,3,1
1973,Saint-Louis N,0.71429,5,1
1978,Wells City,0.5,1,1
1732,Volyn,0.5,2,1
1710,Platanias,0.5,1,1
1701,Mons Calpe,0.5,2,1
2002,Bewdley Town,0.5,2,1
2005,Aylestone Park,0.5,3,1
1249,Serbia,0.43478,6,1
1667,Unterhaching,0.5,2,1
1644,Valencia II,0.5,1,1
1641,AD Ceuta,0.5,4,1
2019,Ampthill Town,0.66667,1,1
2059,Cardassar,0.5,3,1
1635,Unionistas,0.42857,4,1
1618,Cornella,0.375,4,1
2075,Tynecastle BC,0.5,8,1
98,Marignane,0.6,0,1
2076,Stansfeld,0.5,3,1
1573,Everton U21,0.5,2,1
1609,Reims II,0.5,2,1
2270,Holland U21,0.66667,5,1
191,Bursaspor,0.41176,9,1
207,Boulogne,0.45455,7,1
153,Lugo,0.40404,22,1
1011,Burundi,0.44444,4,1
188,Le Havre,0.375,0,1
983,Sarpsborg,0.38333,20,1
970,Chicago,0.35088,2,1
968,Stabaek,0.36667,2,1
205,Tours,0.4,1,1
241,Bastia,0.375,10,1
131,Reims,0.37931,5,1
242,Vitre,0.66667,2,1
378,Konyaspor,0.3875,17,1
919,Northwich,0.42857,8,1
895,Malawi,0.4,3,1
390,Nantes II,0.5,2,1
881,Italy U21,0.5,7,1
497,Hereford,0.37662,10,1
137,Longueau,0.5,2,1
716,Pau,0.5,1,1
1146,Laci,0.5,0,1
124,Malaga,0.35922,3,1
1210,FK Iskra,0.66667,1,1
130,Canet Roussillon FC,0.5,1,1
2191,Comunicaciones,1.0,0,0
489,Lancaster,0.35385,16,0
423,Coventry,0.35185,9,0
2013,Northampton Sileby Rangers,1.0,0,0
2014,Saltdean United,0.5,2,0
2018,St Blazey,1.0,0,0
2251,Concarneau,1.0,0,0
1988,Milton Keynes Irish,0.66667,2,0
2250,Macon,1.0,0,0
2022,Milton United,1.0,0,0
2032,Coggeshall T,0.66667,1,0
2034,VfR Aalen,0.5,2,0
2037,Jura Sud,1.0,0,0
1989,Fakenham Town,0.66667,1,0
493,Ramsbottom,0.375,7,0
2044,Marseille II,0.5,3,0
1953,Sabadell,0.35294,7,0
1860,Chad,0.5,2,0
1877,Baltika,1.0,0,0
1879,Dinaz Vyshhorod,1.0,0,0
1923,Wiedenbruck,0.5,5,0
1931,Bari,0.5,4,0
654,Hobro IK,0.45652,17,0
1954,Northwood,0.66667,3,0
1975,Dudley Sports,0.5,1,0
1962,Saumur,0.42857,4,0
1963,Angers SCO II,1.0,0,0
1966,Bergerac,1.0,0,0
583,Saint-Quentin,0.5,1,0
548,Vendsyssel,0.58333,5,0
2267,Montserrat,1.0,0,0
2038,Fleury 91,0.5,1,0
