date,league,home-team,home-score,away-team,away-score,matchResults
2021-01-31,Turkey Lig 1,Boluspor,1,AdanaDemirspor,2,2
2021-01-31,Greece Football League,Karaiskakis,0,Ergotelis,1,2
2021-01-31,Greece Football League,Ionikos,2,OFIIerapetras,1,1
2021-01-31,Albania Superliga,Laci,1,TeutaDurres,0,1
2021-01-31,Albania Superliga,ApoloniaFier,0,KFTirana,1,2
2021-01-31,Spain Segunda Liga,SportingGijon,0,FCCartagena,0,X
2021-01-31,Turkey Super Lig,Denizlispor,2,Goztepespor,1,1
2021-01-31,Turkey Super Lig,Genclerbirligi,0,Antalyaspor,1,2
2021-01-31,Spain Primera Liga,Getafe,0,Alaves,0,X
2021-01-31,Czech First League,Opava,0,FCBrno,2,2
2021-01-31,Oman League,Nizwa,1,Dhufar,1,X
2021-01-31,Greece Etniki Katigoria,OFICrete,0,AEKAthens,2,2
2021-01-31,Oman League,AlSuwaiq,1,BahlaClub,2,2
2021-01-31,Hungary NB I,ZalaegerszegTE,4,PaksiSE,4,X
2021-01-31,Austria Bundesliga,StPolten,0,Wolfsberger,2,2
2021-01-31,Austria Bundesliga,AustriaVienna,2,WSGWattens,2,X
2021-01-31,Holland Eredivisie,WillemII,2,FCEmmen,0,1
2021-01-31,Holland Eredivisie,Feyenoord,3,PSV,1,1
2021-01-31,South Africa Premiership,Baroka,1,CapeTownCity,1,X
2021-01-31,South Africa Premiership,MamelodiSundowns,2,ChippaUnited,0,1
2021-01-31,Italy Serie B,Chievo,3,Pescara,1,1
2021-01-31,Germany Regionalliga West,BorussiaDortmundII,4,Lotte,0,1
2021-01-31,England Premier League,Leicester,1,Leeds,3,2
2021-01-31,Portugal LigaPro,Academica,2,AcademicoViseu,1,1
2021-01-31,Italy Serie A,Crotone,0,Genoa,3,2
2021-01-31,Italy Serie A,Cagliari,1,Sassuolo,1,X
2021-01-31,Italy Serie A,Atalanta,1,Lazio,3,2
2021-01-31,France Ligue 1,Brestois,2,Metz,4,2
2021-01-31,France Ligue 1,Angers,3,Nimes,1,1
2021-01-31,Greece Football League,DoxaDramas,0,Diagoras,2,2
2021-01-31,Greece Football League,ApollonLarisas,0,PanahaikiPatras,3,2
2021-01-31,France Ligue 1,Strasbourg,0,Reims,1,2
2021-01-31,Saudi Arabia Pro League,AlRaed,4,Dhamk,2,1
2021-01-31,Nicaragua Liga Primera,JuniorManagua,0,DeportivoOcotal,0,X
2021-01-31,Nicaragua Liga Primera,JuventusManagua,1,Diriangen,0,1
2021-01-31,Nicaragua Liga Primera,MunicipalJalapa,2,WalterFerreti,0,1
2021-01-31,Costa Rica Primera,Herediano,1,Alajuelense,1,X
2021-01-31,New Zealand Premiership,HawkesBayUnited,0,AucklandCity,4,2
2021-01-31,Mexico Liga MX,Guadalajara,1,Juarez,2,2
2021-01-31,Colombia Copa Mustang,Junior,2,America,1,1
2021-01-31,New Zealand Premiership,EasternSuburbs,8,WellingtonPhoenixReserves,0,1
2021-01-31,Mexico Liga MX,CruzAzul,4,JaguaresChiapas,1,1
2021-01-31,Mexico Liga MX,Tijuana,3,Toluca,2,1
2021-01-31,Australia A League,CentralCoastMariners,1,WellingtonPhoenix,2,2
2021-01-31,Australia A League,MelbourneCity,1,PerthGlory,3,2
2021-01-31,Romania Liga I,Botosani,1,Hermannstadt,0,1
2021-01-31,Turkey Lig 1,Umraniyespor,2,Samsunspor,2,X
2021-01-31,Turkey Super Lig,Erzurumspor,1,Ankaragucu,0,1
2021-01-31,Turkey Lig 1,MenemenBelediyespor,0,Giresunspor,4,2
2021-01-31,Holland Eredivisie,FCTwente,0,Heerenveen,0,X
2021-01-31,Portugal LigaPro,Vilafranquense,2,BenficaII,2,X
2021-01-31,Italy Serie A,Spezia,0,Udinese,1,2
2021-01-31,England Premier League,Chelsea,2,Burnley,0,1
2021-01-31,Romania Liga I,AstraGiurgiu,1,ViitorulConstanta,1,X
2021-01-31,Germany 3. Liga,MSVDuisburg,3,Lubeck,1,1
2021-01-31,France Ligue 1,Nice,0,StEtienne,1,2
2021-01-31,Belgium Juliper League,ClubBrugge,3,StandardLiege,1,1
2021-01-31,Germany 2. Bundesliga,Sandhausen,2,Nurnberg,0,1
2021-01-31,Germany 2. Bundesliga,VfLBochum,1,Karlsruhe,2,2
2021-01-31,Germany 2. Bundesliga,FCHeidenheim,3,StPauli,4,2
2021-01-31,France Ligue 1,Lorient,3,PSG,2,1
2021-01-31,Cyprus 1. Division,Paphos,1,AEKLarnaca,4,2
2021-01-31,Poland Ekstraklasa,WislaKrakow,3,PiastGliwice,4,2
2021-01-31,Spain Segunda Liga,Tenerife,1,Fuenlabrada,1,X
2021-01-31,Spain Segunda Liga,Mirandes,2,LasPalmas,0,1
2021-01-31,Spain Primera Liga,Granada,0,CeltaVigo,0,X
2021-01-31,Czech First League,SlaviaPrague,3,Jablonec,970,2
2021-01-31,Greece Etniki Katigoria,ApollonSmirnis,1,Olympiacos,3,2
