,played,won,draw,lost,scored,conceived,diff
Cucuta,12,2,2,8,12,21,-9
Pereira,18,2,7,9,15,22,-7
Envigado,18,3,7,8,15,19,-4
ChicoFC,16,3,2,11,10,12,-2
AlianzaPetrolera,15,1,5,9,18,19,-1
BoyacaPatriotas,17,4,5,8,14,12,2
JaguaresdeCordoba,16,2,9,5,14,11,3
AtleticoBucaramanga,16,5,4,7,17,14,3
Medellin,17,4,3,10,19,16,3
Pasto,15,7,5,3,19,15,4
America,15,7,4,4,25,21,4
DeportesTolima,15,8,4,3,24,20,4
OnceCaldas,18,6,8,4,25,20,5
ItaguiDitares,16,6,6,4,23,17,6
LaEquidad,13,8,2,3,13,7,6
NacionaldeMedellin,16,8,2,6,28,22,6
Junior,15,8,5,2,24,18,6
Cali,17,8,6,3,26,18,8
SantaFe,15,9,3,3,26,16,10
Millonarios,18,10,7,1,33,20,13
