,played,won,draw,lost,scored,conceived,diff
WestBrom,21,2,6,13,17,41,-24
Brighton,27,6,11,10,28,39,-11
Newcastle,28,7,6,15,30,40,-10
Fulham,20,2,8,10,17,25,-8
CrystalPalace,27,7,6,14,28,35,-7
Norwich,7,0,0,7,1,8,-7
SheffUtd,28,5,3,20,21,25,-4
Burnley,26,8,7,11,20,23,-3
Watford,6,2,0,4,7,9,-2
Bournemouth,7,2,1,4,11,13,-2
Leeds,20,9,2,9,35,36,-1
Everton,26,12,5,9,35,35,0
ManUtd,27,16,7,4,52,51,1
Wolverhampton,27,8,6,13,27,25,2
WestHam,28,13,8,7,45,41,4
Leicester,28,14,4,10,45,41,4
Southampton,26,11,8,7,37,32,5
AstonVilla,25,12,4,9,39,33,6
Arsenal,28,13,5,10,39,32,7
Tottenham,27,13,8,6,45,37,8
Chelsea,28,13,6,9,49,33,16
Liverpool,28,15,8,5,58,42,16
ManCity,27,19,5,3,62,32,30
