,played,won,draw,lost,scored,conceived,diff
Nimes,21,4,3,14,17,31,-14
Nice,21,7,5,9,23,35,-12
Dijon,22,2,9,11,15,22,-7
StEtienne,22,5,7,10,21,28,-7
Montpellier,22,8,4,10,34,39,-5
Nantes,22,3,9,10,21,26,-5
Lorient,21,5,3,13,26,30,-4
Strasbourg,22,7,3,12,30,33,-3
Angers,22,10,3,9,29,31,-2
Reims,22,7,6,9,30,31,-1
Lens,22,10,4,8,32,32,0
Rennes,21,10,6,5,30,30,0
Brestois,22,8,2,12,33,31,2
Marseille,20,9,5,6,27,24,3
Bordeaux,22,9,5,8,26,23,3
Metz,22,9,7,6,27,23,4
Monaco,22,13,3,6,44,32,12
Lyon,22,13,7,2,46,32,14
Lille,22,14,6,2,37,23,14
PSG,22,14,3,5,50,26,24
