,played,won,draw,lost,scored,conceived,diff
BergischGladbach,23,4,5,14,20,112,-92
Ahlen,23,2,6,15,25,113,-88
VfBHomberg,22,5,4,13,19,106,-87
Wiedenbruck,22,5,9,8,29,115,-86
Lotte,22,5,2,15,18,104,-86
Wuppertaler,20,4,3,13,22,101,-79
AlemanniaAachen,20,7,5,8,16,95,-79
BorussiaMonchengladbachII,21,9,4,8,32,105,-73
Bonner,21,2,3,16,17,28,-11
WegbergBeeck,21,5,6,10,21,30,-9
Straelen,21,7,6,8,23,27,-4
II,11,2,0,9,18,18,0
Oberhausen,22,6,7,9,33,29,4
FCKolnII,21,9,8,4,32,23,9
PreussenMunster,22,12,3,7,31,21,10
FortunaKoln,21,12,5,4,43,30,13
FortunaDusseldorfII,22,9,5,8,41,27,14
Rodinghausen,22,10,5,7,31,17,14
RotWeissEssen,21,15,5,1,47,25,22
BorussiaDortmundII,22,15,5,2,57,32,25
FCSchalke,21,18,0,3,84,58,26
Lippstadt,21,20,0,1,1702,674,1028
