,played,won,draw,lost,scored,conceived,diff
FCEmmen,20,0,6,14,17,34,-17
VVVVenlo,20,6,4,10,34,47,-13
ADODenHaag,20,2,6,12,17,29,-12
RKCWaalwijk,20,3,6,11,17,24,-7
WillemII,20,3,4,13,24,30,-6
FortunaSittard,20,7,4,9,31,36,-5
FCZwolle,20,4,10,6,25,27,-2
Sparta,20,6,5,9,29,31,-2
FCTwente,20,8,6,6,33,34,-1
FCUtrecht,20,6,10,4,27,24,3
Heerenveen,20,6,8,6,28,24,4
AZ,20,10,7,3,44,40,4
FCGroningen,20,10,4,6,28,23,5
Heracles,20,7,4,9,23,17,6
Feyenoord,20,11,5,4,37,28,9
Vitesse,20,13,3,4,34,21,13
PSV,20,13,4,3,46,31,15
Ajax,20,16,2,2,66,44,22
