,played,won,draw,lost,scored,conceived,diff
Spal,10,0,2,8,6,20,-14
Parma,30,5,8,17,32,46,-14
Spezia,20,4,6,10,26,35,-9
Benevento,20,6,4,10,23,32,-9
Crotone,20,3,3,14,22,29,-7
Udinese,30,10,8,12,35,42,-7
Cagliari,30,4,10,16,29,35,-6
Lecce,10,3,1,6,17,18,-1
Torino,29,4,12,13,42,43,-1
Brescia,10,2,1,7,10,11,-1
Bologna,30,7,9,14,37,38,-1
Genoa,29,9,7,13,34,34,0
Lazio,29,14,5,10,48,47,1
HellasVerona,30,9,11,10,36,34,2
Sampdoria,30,13,3,14,47,44,3
Fiorentina,30,10,10,10,38,32,6
Sassuolo,30,13,9,8,54,48,6
Juventus,28,14,8,6,56,42,14
ACMilan,30,21,7,2,70,54,16
Roma,30,19,6,5,68,52,16
Atalanta,30,16,9,5,63,46,17
Napoli,29,17,3,9,58,35,23
InterMilan,30,19,8,3,74,49,25
