,played,won,draw,lost,scored,conceived,diff
VirtusEntella,27,5,9,13,27,39,-12
Livorno,7,0,0,7,4,12,-8
Pescara,27,5,7,15,21,25,-4
Cremonese,27,8,11,8,27,30,-3
Ascoli,27,8,6,13,28,31,-3
Frosinone,26,8,9,9,27,29,-2
ReggioCalabria,19,4,6,9,17,19,-2
Cosenza,27,8,11,8,30,32,-2
Perugia,7,1,2,4,8,10,-2
Reggiana,19,5,3,11,17,18,-1
Vicenza,20,4,10,6,25,25,0
JuveStabia,7,1,2,4,9,9,0
Brescia,20,5,6,9,27,27,0
Benevento,7,3,1,3,11,10,1
Spezia,7,3,2,2,9,6,3
Pordenone,27,8,14,5,32,28,4
Venezia,27,10,10,7,29,24,5
Pisa,26,9,10,7,35,30,5
Crotone,7,5,1,1,14,9,5
Lecce,20,7,10,3,35,29,6
Trapani,7,5,1,1,12,6,6
Salernitana,25,11,6,8,34,26,8
Cittadella,27,12,4,11,40,31,9
Empoli,27,15,8,4,52,42,10
Spal,20,9,7,4,27,16,11
Monza,20,9,8,3,29,17,12
Chievo,27,12,10,5,38,26,12
