,played,won,draw,lost,scored,conceived,diff
AtleticoSanLuis,19,4,1,14,19,26,-7
Atlas,20,3,6,11,13,18,-5
Necaxa,20,7,4,9,19,21,-2
Puebla,20,6,3,11,20,22,-2
Juarez,20,5,8,7,18,18,0
Pachuca,21,6,9,6,19,19,0
Tijuana,21,6,5,10,16,15,1
Guadalajara,22,8,7,7,25,23,2
Mazatlan,14,5,2,7,22,20,2
Monterrey,19,10,5,4,29,24,5
JaguaresChiapas,20,5,3,12,27,20,7
Tigres,19,8,7,4,29,20,9
Toluca,20,8,4,8,30,21,9
Leon,20,13,5,2,29,19,10
CFAmerica,20,10,5,5,32,21,11
CruzAzul,22,12,2,8,32,20,12
SantosLaguna,20,9,5,6,27,15,12
PumasUNAM,21,9,9,3,32,18,14
