,played,won,draw,lost,scored,conceived,diff
Varzim,18,3,5,10,11,18,-7
CovaPiedade,16,4,4,8,18,24,-6
Oliveirense,18,4,6,8,16,21,-5
CasaPiaAtletico,18,6,8,4,23,28,-5
AcademicoViseu,17,3,7,7,13,18,-5
FCPortoII,18,3,4,11,22,25,-3
Vilafranquense,17,3,9,5,17,20,-3
Chaves,18,8,3,7,22,25,-3
Arouca,17,6,6,5,16,16,0
Covilha,15,4,5,6,16,14,2
Feirense,18,10,4,4,27,24,3
BenficaII,18,5,5,8,30,27,3
Mafra,16,7,3,6,22,18,4
Leixoes,18,5,7,6,19,15,4
Penafiel,17,7,4,6,26,21,5
Vizela,18,9,5,4,27,21,6
Academica,18,10,6,2,24,17,7
Estoril,17,11,5,1,28,20,8
