,played,won,draw,lost,scored,conceived,diff
UTABatranaDoamna,20,6,6,8,17,28,-11
CSMSIasi,20,4,3,13,18,27,-9
Hermannstadt,20,3,8,9,19,24,-5
Arges,20,4,8,8,19,22,-3
ChindiaTargoviste,19,7,7,5,17,19,-2
Voluntari,20,4,5,11,24,25,-1
AstraGiurgiu,20,4,7,9,25,26,-1
GazMetanMedias,20,7,3,10,26,27,-1
ViitorulConstanta,20,5,10,5,28,27,1
CSUniversitateaCraiova,20,10,7,3,23,21,2
DinamoBucharest,20,7,4,9,23,21,2
CFRCluj,19,12,5,2,26,22,4
AcademicaClinceni,20,7,9,4,21,17,4
Botosani,20,7,6,7,28,23,5
Sepsi,20,8,9,3,33,26,7
SteauaBucharest,20,14,3,3,47,23,24
