,played,won,draw,lost,scored,conceived,diff
AlAdalhFC,8,1,1,6,6,15,-9
AlAin,15,3,1,11,17,25,-8
AlWehda,24,9,4,11,31,37,-6
AlHazm,8,1,0,7,10,14,-4
AlFateh,23,9,5,9,37,40,-3
AbhaClub,24,8,5,11,30,31,-1
AlEttifaq,24,11,4,9,38,38,0
AlFaiha,8,1,2,5,7,5,2
AlBaten,16,4,5,7,23,21,2
AlQadisiyah,16,5,6,5,24,22,2
AlFaisaly,24,7,9,8,29,27,2
Dhamk,24,8,5,11,34,31,3
AlTaawon,24,7,7,10,22,19,3
AlRaed,24,9,6,9,33,29,4
IttihadJeddah,24,9,10,5,30,25,5
AlAhliJeddah,24,13,4,7,39,31,8
AlShababRiyadh,24,12,8,4,40,32,8
AlNassr,23,12,4,7,43,33,10
AlHilal,23,15,6,2,45,29,16
