,played,won,draw,lost,scored,conceived,diff
BlackLeopards,20,5,3,12,16,24,-8
MaritzburgUnited,20,2,6,12,17,23,-6
Baroka,21,5,8,8,21,27,-6
Tshakhuma,14,1,6,7,7,13,-6
TSGalaxy,14,3,6,5,14,18,-4
PolokwaneCity,6,0,2,4,4,8,-4
KaizerChiefs,23,6,9,8,23,25,-2
GoldenArrows,20,5,9,6,20,19,1
HighlandsPark,6,1,5,0,5,4,1
ChippaUnited,20,5,6,9,17,16,1
Stellenbosch,15,3,7,5,16,14,2
CRVascodaGama,3,2,1,0,3,1,2
AmaZulu,20,5,10,5,23,20,3
OrlandoPirates,20,8,9,3,20,16,4
BidvestWits,9,3,5,1,8,4,4
CapeTownCity,21,11,5,5,36,31,5
MorokaSwallows,14,7,7,0,18,13,5
BloemfonteinCeltic,20,5,10,5,22,15,7
SupersportUnited,20,11,5,4,32,22,10
MamelodiSundowns,24,13,9,2,37,25,12
