,played,won,draw,lost,scored,conceived,diff
Alaves,27,5,8,14,20,33,-13
Eibar,27,6,9,12,22,29,-7
Elche,19,3,8,8,16,23,-7
Cadiz,21,6,6,9,19,25,-6
Huesca,21,2,10,9,17,22,-5
Valladolid,27,6,9,12,26,31,-5
CeltaVigo,4,0,2,2,2,6,-4
Espanyol,6,0,1,5,1,4,-3
Getafe,26,6,8,12,18,21,-3
Osasuna,26,7,9,10,27,29,-2
RealBetis,26,9,4,13,31,31,0
Mallorca,5,1,1,3,5,4,1
CeltadeVigo,22,6,8,8,27,26,1
Leganes,5,3,2,0,6,5,1
Valencia,27,7,9,11,32,30,2
Levante,26,8,10,8,35,31,4
RealSociedad,27,10,11,6,40,35,5
AthleticBilbao,26,9,3,14,32,27,5
Granada,27,12,6,9,38,32,6
Villarreal,27,11,11,5,41,34,7
Sevilla,25,16,4,5,34,22,12
Barcelona,25,16,4,5,53,41,12
RealMadrid,26,17,5,4,45,32,13
AtleticoMadrid,24,19,4,1,48,23,25
