,played,won,draw,lost,scored,conceived,diff
Sabadell,22,5,6,11,21,25,-4
Alcorcon,29,6,9,14,19,22,-3
Malaga,29,10,10,9,25,27,-2
FCCartagena,23,5,6,12,23,25,-2
Ponferradina,29,11,4,14,27,29,-2
RacingSantander,6,1,0,5,4,5,-1
RealZaragoza,29,6,7,16,23,23,0
UDLogrones,22,8,4,10,18,18,0
Cadiz,5,2,0,3,4,4,0
DeportivoLaCoruna,5,2,0,3,6,5,1
Albacete,29,8,9,12,23,22,1
Castellon,23,6,4,13,21,19,2
Fuenlabrada,29,10,12,7,34,31,3
Elche,5,3,0,2,7,4,3
Extremadura,6,3,0,3,9,6,3
Numancia,6,3,0,3,7,4,3
Mirandes,29,11,7,11,27,23,4
Tenerife,28,8,8,12,25,20,5
Huesca,6,4,0,2,8,3,5
RealOviedo,29,10,10,9,34,29,5
Girona,29,12,8,9,23,17,6
Leganes,21,10,4,7,20,12,8
Lugo,28,12,9,7,33,24,9
SportingGijon,29,11,9,9,24,15,9
RayoVallecano,29,15,6,8,41,30,11
Mallorca,23,14,6,3,32,20,12
Almeria,28,16,4,8,39,27,12
LasPalmas,29,11,9,9,36,23,13
Espanyol,23,14,3,6,34,20,14
