,played,won,draw,lost,scored,conceived,diff
Eskisehirspor,23,0,7,16,12,26,-14
Balikesirspor,23,5,4,14,22,30,-8
MenemenBelediyespor,22,6,9,7,30,37,-7
Boluspor,23,7,4,12,24,28,-4
Umraniyespor,23,6,6,11,28,30,-2
Osmanlispor,23,5,4,14,20,22,-2
Adanaspor,22,6,3,13,31,33,-2
Tuzlaspor,19,10,3,6,29,30,-1
Bandirmaspor,19,8,3,8,23,22,1
Erzurumspor,4,3,0,1,8,6,2
AkhisarBelediyespor,23,8,4,11,25,23,2
Altinordu,22,10,5,7,30,27,3
Hatayspor,4,3,0,1,6,3,3
Bursaspor,22,10,4,8,38,34,4
FatihKaragumruk,4,3,0,1,11,6,5
Samsunspor,19,10,7,2,27,19,8
Giresunspor,22,12,5,5,32,24,8
Keciorengucu,22,11,4,7,31,18,13
AdanaDemirspor,23,13,5,5,43,29,14
Istanbulspor,22,13,4,5,42,27,15
Altay,22,12,3,7,37,22,15
