,played,won,draw,lost,scored,conceived,diff
Genclerbirligi,26,6,6,14,24,32,-8
Denizlispor,26,5,5,16,23,31,-8
Erzurumspor,21,5,5,11,20,26,-6
Kayserispor,26,7,5,14,22,25,-3
Sivasspor,26,7,10,9,27,29,-2
Antalyaspor,26,9,10,7,27,29,-2
Ankaragucu,26,7,4,15,30,32,-2
Trabzonspor,26,12,7,7,38,39,-1
Kasimpasa,26,9,6,11,32,30,2
IstanbulBuyuksehirBSK,26,9,6,11,37,35,2
Malatyaspor,26,8,8,10,28,24,4
Konyaspor,25,9,5,11,39,34,5
Hatayspor,21,10,5,6,34,27,7
CaykurRizespor,26,8,7,11,34,27,7
Goztepespor,26,7,8,11,38,30,8
FatihKaragumruk,21,8,7,6,33,25,8
Fenerbahce,26,16,4,6,50,41,9
GaziantepBB,26,12,10,4,43,32,11
Galatasaray,26,14,4,8,50,32,18
Alanyaspor,26,15,4,7,49,28,21
Besiktas,26,18,2,6,58,36,22
