,HHWin,HHDraw,HHLose,AAWin,AADraw,AALose,homeTeam to win,homeTeam to draw,homeTeam to lose
FK Krasnodar vs Sevilla,51,25,19,49,35,53,0.4482758620689655,0.25862068965517243,0.29310344827586204
Paris St-G. vs RB Leipzig,102,17,9,49,24,30,0.5714285714285714,0.1774891774891775,0.2510822510822511
Juventus vs Ferencvaros,101,16,10,42,28,24,0.5656108597285068,0.19909502262443438,0.23529411764705882
B Dortmund vs Club Brugge,71,24,15,49,27,35,0.4796380090497738,0.23076923076923078,0.2895927601809955
Man Utd vs Basaksehir,80,32,18,43,29,26,0.4649122807017544,0.2675438596491228,0.2675438596491228
Lazio vs Zenit,66,22,27,47,25,30,0.4423963133640553,0.21658986175115208,0.34101382488479265
QPR vs Rotherham,51,23,47,27,24,62,0.4829059829059829,0.20085470085470086,0.3162393162393162
Wycombe vs Huddersfield,55,27,39,28,23,59,0.4935064935064935,0.21645021645021645,0.29004329004329005
Luton vs Birmingham,68,32,30,23,40,51,0.48770491803278687,0.29508196721311475,0.21721311475409835
Barnsley vs Brentford,49,44,28,39,25,52,0.42616033755274263,0.2911392405063291,0.28270042194092826
Bournemouth vs Nottm Forest,40,25,38,27,35,54,0.4292237442922374,0.273972602739726,0.2968036529680365
Portsmouth vs Oxford,75,27,31,47,39,47,0.45864661654135336,0.24812030075187969,0.2932330827067669
Accrington vs Crewe,62,29,36,31,28,56,0.48760330578512395,0.23553719008264462,0.2768595041322314
Ipswich vs Hull,40,38,36,34,28,61,0.42616033755274263,0.27848101265822783,0.29535864978902954
Peterborough vs Plymouth,61,29,36,40,31,49,0.44715447154471544,0.24390243902439024,0.3089430894308943
Wigan vs Bristol R,55,34,31,35,31,53,0.45188284518828453,0.2719665271966527,0.27615062761506276
Salford vs Morecambe,68,32,22,27,31,62,0.5371900826446281,0.2603305785123967,0.2024793388429752
Newport Co vs Walsall,61,37,38,33,36,48,0.4308300395256917,0.2885375494071146,0.28063241106719367
Tranmere vs Carlisle,63,24,39,41,40,43,0.424,0.256,0.32
Cheltenham vs Cambridge U,59,32,34,34,28,56,0.4732510288065844,0.24691358024691357,0.27983539094650206
Southend vs Forest Green,42,26,51,52,30,43,0.3483606557377049,0.22950819672131148,0.42213114754098363
Barrow vs Oldham,50,37,30,32,40,54,0.4279835390946502,0.3168724279835391,0.2551440329218107
Crawley vs Grimsby,45,28,46,36,22,63,0.45,0.20833333333333334,0.3416666666666667
Exeter vs Colchester,69,28,35,31,38,47,0.46774193548387094,0.2661290322580645,0.2661290322580645
Scunthorpe vs Bolton,51,37,37,20,25,67,0.4978902953586498,0.2616033755274262,0.24050632911392406
Wrexham vs Sutton Utd,54,29,27,43,27,44,0.4375,0.25,0.3125
Hibernian vs St Johnstone,58,35,22,39,20,41,0.4604651162790698,0.2558139534883721,0.2837209302325581
Hearts vs Alloa,52,30,26,36,27,40,0.43601895734597157,0.27014218009478674,0.2938388625592417
Edinburgh Uni vs Spartans,12,11,27,32,12,20,0.2807017543859649,0.20175438596491227,0.5175438596491229
East Kilbride vs Edusport Acad,41,9,18,18,6,22,0.5526315789473685,0.13157894736842105,0.3157894736842105
Civil Serv Strol vs Berwick,21,9,17,13,21,52,0.5488721804511278,0.22556390977443608,0.22556390977443608
Koper vs Bravo Publikum,12,6,11,6,6,11,0.4423076923076923,0.23076923076923078,0.3269230769230769
Castellon vs Alcorcon,3,0,5,25,34,46,0.4336283185840708,0.3008849557522124,0.26548672566371684
Girona vs Malaga,49,26,30,20,33,48,0.470873786407767,0.28640776699029125,0.24271844660194175
Lugo vs Real Oviedo,45,27,33,23,26,56,0.48095238095238096,0.2523809523809524,0.26666666666666666
